SKU,Retail Price ,Wholesale Price,UPC,Quantity,Item Size,Name,URL,Brand,Product Category,Item Type
115520,71,58,85715650009,20,5.2 OZ,OSCAR by Oscar de la Renta,https://www.fragrancenet.com/oscar-perfume/oscar-de-la-renta/womens-fragrances/wf/en_US/01817,OSCAR,Fragrance,Bath & Body
115577,37.5,24.5,46447555901,24,8 OZ,CANOE by Dana,https://www.fragrancenet.com/canoe-cologne/dana/mens-fragrances/mf/en_US/00428,CANOE,Fragrance,Fragrances
115634,70,57,3137370207054,24,1.7 OZ,L'AIR DU TEMPS by Nina Ricci,https://www.fragrancenet.com/l%27air-du-temps-perfume/nina-ricci/womens-fragrances/wf/en_US/01428,L'AIR DU TEMPS,Fragrance,Fragrances
115977,78.75,22,85715804013,24,3.4 OZ,DUNHILL EDITION by Alfred Dunhill,https://www.fragrancenet.com/dunhill-edition-cologne/alfred-dunhill/mens-fragrances/mf/en_US/00768,DUNHILL EDITION,Fragrance,Fragrances
116849,62,12.5,98691042898,24,3.4 OZ,ELLEN TRACY by Ellen Tracy,https://www.fragrancenet.com/ellen-tracy-perfume/ellen-tracy/womens-fragrances/wf/en_US/00827,ELLEN TRACY,Fragrance,Fragrances
118628,65,15.5,67724101000,24,4.2 OZ,FOREVER by Alfred Sung,https://www.fragrancenet.com/forever-perfume/alfred-sung/womens-fragrances/wf/en_US/00986,FOREVER,Fragrance,Fragrances
118785,73,34.5,88300049493,24,3.4 OZ,TRUTH by Calvin Klein,https://www.fragrancenet.com/truth-perfume/calvin-klein/womens-fragrances/wf/en_US/02342,TRUTH,Fragrance,Fragrances
119121,95,47.5,3274872444126,24,3.3 OZ,GENTLEMAN ORIGINAL by Givenchy,https://www.fragrancenet.com/gentleman-original-cologne/givenchy/mens-fragrances/mf/en_US/35699,GENTLEMAN ORIGINAL,Fragrance,Fragrances
119328,79,38.5,3137370207023,13,1.7 OZ,L'AIR DU TEMPS by Nina Ricci,https://www.fragrancenet.com/l%27air-du-temps-perfume/nina-ricci/womens-fragrances/wf/en_US/01428,L'AIR DU TEMPS,Fragrance,Fragrances
119471,57,22,861940000075,24,3.4 OZ,JESSICA MCCLINTOCK #3 by Jessica McClintock,https://www.fragrancenet.com/jessica-mcclintock-%233-perfume/jessica-mcclintock/womens-fragrances/wf/en_US/29156,JESSICA MCCLINTOCK #3,Fragrance,Fragrances
119857,120.5,51,3274872289994,24,3.4 OZ,KENZO JUNGLE L'ELEPHANT by Kenzo,https://www.fragrancenet.com/kenzo-jungle-l%27elephant-perfume/kenzo/womens-fragrances/wf/en_US/01387,KENZO JUNGLE L'ELEPHANT,Fragrance,Fragrances
119921,49,48.5,12345678912,24,1.7 OZ,SO YOU by Giorgio Beverly Hills,https://www.fragrancenet.com/so-you-perfume/giorgio-beverly-hills/womens-fragrances/wf/en_US/02182,SO YOU,Fragrance,Fragrances
